catalogueId,field,label,source,period,originalGeography,catalogueComponent,reportComponent,selection,projected,available,reportReference,notes,localStatus,r2Status,candidateDatasets,exactPrimitiveMatch,nextAction,min,max,uniqueValues
24,num_eng_speakers,English speakers,StatCan,2021,DA,Adaptive capacity,Adaptive capacity,selected,False,True,Table 1 pp. 5–10; Table 2 pp. 12–13,,2021 variables present for 135 Prince George DAs; BC DA geometry present; complete province-wide attribute coverage not established,CVI/census attribute publication not verified,,False,"Acquire full BC 2021 attributes and establish the DA-to-FSA crosswalk and aggregation rule; counts, rates and medians need different treatment.",143.333333333333,1307.14285714286,191
25,num_indigenous,Indigenous residents,StatCan,2021,DA,Adaptive capacity,Adaptive capacity,selected,False,True,Table 1 pp. 5–10; Table 2 pp. 12–13,,2021 variables present for 135 Prince George DAs; BC DA geometry present; complete province-wide attribute coverage not established,CVI/census attribute publication not verified,,False,"Acquire full BC 2021 attributes and establish the DA-to-FSA crosswalk and aggregation rule; counts, rates and medians need different treatment.",0.0,250.0,191
26,num_non_indigenous,Non-Indigenous residents,StatCan,2021,DA,Adaptive capacity,Adaptive capacity,selected,False,True,Table 1 pp. 5–10; Table 2 pp. 12–13,,2021 variables present for 135 Prince George DAs; BC DA geometry present; complete province-wide attribute coverage not established,CVI/census attribute publication not verified,,False,"Acquire full BC 2021 attributes and establish the DA-to-FSA crosswalk and aggregation rule; counts, rates and medians need different treatment.",49.0,1413.33333333333,191
27,avg_room_dwelling,Rooms per dwelling,StatCan,2021,DA,Adaptive capacity,Adaptive capacity,selected,False,True,Table 1 pp. 5–10; Table 2 pp. 12–13,,2021 variables present for 135 Prince George DAs; BC DA geometry present; complete province-wide attribute coverage not established,CVI/census attribute publication not verified,,False,"Acquire full BC 2021 attributes and establish the DA-to-FSA crosswalk and aggregation rule; counts, rates and medians need different treatment.",2.86666666666667,8.00909090909091,190
28,num_non_immig,Non-immigrants,StatCan,2021,DA,Adaptive capacity,Adaptive capacity,selected,False,True,Table 1 pp. 5–10; Table 2 pp. 12–13,,2021 variables present for 135 Prince George DAs; BC DA geometry present; complete province-wide attribute coverage not established,CVI/census attribute publication not verified,,False,"Acquire full BC 2021 attributes and establish the DA-to-FSA crosswalk and aggregation rule; counts, rates and medians need different treatment.",135.0,1116.92307692308,190
29,num_non_minority,Non-minority residents,StatCan,2021,DA,Adaptive capacity,Adaptive capacity,selected,False,True,Table 1 pp. 5–10; Table 2 pp. 12–13,,2021 variables present for 135 Prince George DAs; BC DA geometry present; complete province-wide attribute coverage not established,CVI/census attribute publication not verified,,False,"Acquire full BC 2021 attributes and establish the DA-to-FSA crosswalk and aggregation rule; counts, rates and medians need different treatment.",86.8333333333333,1139.23076923077,190
30,num_non_1yr_mover,Non-movers over one year,StatCan,2021,DA,Adaptive capacity,Adaptive capacity,selected,False,True,Table 1 pp. 5–10; Table 2 pp. 12–13,,2021 variables present for 135 Prince George DAs; BC DA geometry present; complete province-wide attribute coverage not established,CVI/census attribute publication not verified,,False,"Acquire full BC 2021 attributes and establish the DA-to-FSA crosswalk and aggregation rule; counts, rates and medians need different treatment.",125.0,1133.71428571429,191
31,num_hs_edu,High school education,StatCan,2021,DA,Adaptive capacity,Adaptive capacity,not_selected,False,True,Table 1 pp. 5–10; Table 2 pp. 12–13,,2021 variables present for 135 Prince George DAs; BC DA geometry present; complete province-wide attribute coverage not established,CVI/census attribute publication not verified,,False,"Acquire full BC 2021 attributes and establish the DA-to-FSA crosswalk and aggregation rule; counts, rates and medians need different treatment.",107.5,1246.66666666667,191
32,num_postsecond,Postsecondary education,StatCan,2021,DA,Adaptive capacity,Adaptive capacity,ambiguous,False,True,Table 1 pp. 5–10; Table 2 pp. 12–13,Table 1/catalogue say postsecondary degree; Table 2 says university degree holders. These are not equivalent definitions; mapping is provisional.,2021 variables present for 135 Prince George DAs; BC DA geometry present; complete province-wide attribute coverage not established,CVI/census attribute publication not verified,,False,"Acquire full BC 2021 attributes and establish the DA-to-FSA crosswalk and aggregation rule; counts, rates and medians need different treatment.",46.0,886.666666666667,190
33,num_employed,Employed residents,StatCan,2021,DA,Adaptive capacity,Adaptive capacity,selected,False,True,Table 1 pp. 5–10; Table 2 pp. 12–13,,2021 variables present for 135 Prince George DAs; BC DA geometry present; complete province-wide attribute coverage not established,CVI/census attribute publication not verified,,False,"Acquire full BC 2021 attributes and establish the DA-to-FSA crosswalk and aggregation rule; counts, rates and medians need different treatment.",70.0,881.666666666667,190
34,pm25_fsa_avg10yr_2020,"PM2.5, 10-year average",CANUE,2011–2020,postal code,Exposure,Exposure,selected,False,True,Table 1 pp. 5–10; Table 2 pp. 12–13,Two related PM2.5 versions cover the requested years; exact product version and annual averaging not established.,ZIP archive entries present in Google Drive; processed extracts absent from current checkout; matching original version/field/years not established,Related grid/aggregate catalogues live; representative objects HTTP 200; exact FSA aggregates absent from inspected catalogue,pm25dald_a; pm25dale_a,False,"Verify CANUE version, variable/buffer, year coverage and postal-to-FSA averaging before rebuilding.",3.69,9.736,185
35,avg3yr_landtemp_2021,"Land temperature, 3-year average",CANUE,2019–2021,postal code,Exposure,Exposure,not_selected,False,True,Table 1 pp. 5–10; Table 2 pp. 12–13,Not selected in Table 2. R2 thermal metric describes a rolling three-year maximum of warm-season means; not verified as the same study average.,ZIP archive entries present in Google Drive; processed extracts absent from current checkout; matching original version/field/years not established,Related grid/aggregate catalogues live; representative objects HTTP 200; exact FSA aggregates absent from inspected catalogue,wtlst_ava,False,"Verify CANUE version, variable/buffer, year coverage and postal-to-FSA averaging before rebuilding.",18.243,32.054,190
36,,"Annual maximum temperature, 10-year average",CANUE,2011–2020,postal code,Exposure,Exposure,not_selected,False,False,Table 1 pp. 5–10; Table 2 pp. 12–13,"Not selected in Table 2 and absent from CSV; the candidate weather series ends in 2015, before the requested 2020 endpoint.",ZIP archive entries present in Google Drive; processed extracts absent from current checkout; matching original version/field/years not established,Related grid/aggregate catalogues live; representative objects HTTP 200; exact FSA aggregates absent from inspected catalogue,wthnrc_a,False,"Verify CANUE version, variable/buffer, year coverage and postal-to-FSA averaging before rebuilding.",,,0
37,avg10yr_annual_precipitation,"Annual precipitation, 10-year average",CANUE,2011–2020,postal code,Exposure,Exposure,selected,False,True,Table 1 pp. 5–10; Table 2 pp. 12–13,"Candidate wthnrc_a ends in 2015, before the required 2011–2020 period. The original source/version remains unresolved.",ZIP archive entries present in Google Drive; processed extracts absent from current checkout; matching original version/field/years not established,Related grid/aggregate catalogues live; representative objects HTTP 200; exact FSA aggregates absent from inspected catalogue,wthnrc_a,False,"Verify CANUE version, variable/buffer, year coverage and postal-to-FSA averaging before rebuilding.",22.0961666666667,194.88,192
38,total_heat,Extreme heat event count,ECCC,2009–2022,weather station,Exposure,Exposure,selected,False,True,Table 1 pp. 5–10; Table 2 pp. 12–13,"Exact stations, missing-day handling, heat thresholds and multi-day event counting rules are not provided as executable code.",Original station-level event count dataset not found; related climate data exist,Related BC climate data live; original heat event dataset not verified,,False,Acquire the exact source release and document its geographic assignment to FSA.,12.0,211.0,5
39,2020s_summer_tmean_change,Projected 2020s summer temperature change,PCIC,2018 release,weather station,Exposure,Exposure,selected,True,True,Table 1 pp. 5–10; Table 2 pp. 12–13,"Exact 2018 PCIC projection release, scenario, baseline and station-to-FSA allocation unverified. Current R2 CMIP6 release is related, not equivalent.",Related climate projection output present; exact 2018 station-based changes not found,Related BC climate manifest HTTP 200; exact CVI input not verified,,False,Acquire the exact source release and document its geographic assignment to FSA.,0.6,0.9,4
40,2050s_summer_tmean_change,Projected 2050s summer temperature change,PCIC,2018 release,weather station,Exposure,Exposure,selected,True,True,Table 1 pp. 5–10; Table 2 pp. 12–13,"Exact 2018 PCIC projection release, scenario, baseline and station-to-FSA allocation unverified. Current R2 CMIP6 release is related, not equivalent.",Related climate projection output present; exact 2018 station-based changes not found,Related BC climate manifest HTTP 200; exact CVI input not verified,,False,Acquire the exact source release and document its geographic assignment to FSA.,1.7,3.0,11
41,median_age,Median age,StatCan,2021,DA,Sensitivity,Sensitivity,selected,False,True,Table 1 pp. 5–10; Table 2 pp. 12–13,,2021 variables present for 135 Prince George DAs; BC DA geometry present; complete province-wide attribute coverage not established,CVI/census attribute publication not verified,,False,"Acquire full BC 2021 attributes and establish the DA-to-FSA crosswalk and aggregation rule; counts, rates and medians need different treatment.",33.9647058823529,66.5,192
42,mean_age,Average age,StatCan,2021,DA,Sensitivity,Sensitivity,not_selected,False,True,Table 1 pp. 5–10; Table 2 pp. 12–13,,2021 variables present for 135 Prince George DAs; BC DA geometry present; complete province-wide attribute coverage not established,CVI/census attribute publication not verified,,False,"Acquire full BC 2021 attributes and establish the DA-to-FSA crosswalk and aggregation rule; counts, rates and medians need different treatment.",35.2588235294118,61.8,192
43,median_age_chgn,"Projected median age change, 2023–2046",BC Stats,2022 release,LHA,Sensitivity,Sensitivity,selected,True,True,Table 1 pp. 5–10; Table 2 pp. 12–13,,Exact 2022 projection release/change table not found,Not verified,,False,Acquire the exact source release and document its geographic assignment to FSA.,-8.0,23.4,46
44,pop_chng,"Projected population change, 2023–2046",BC Stats,2022 release,LHA,Sensitivity,Adaptive capacity,selected,True,True,Table 1 pp. 5–10; Table 2 pp. 12–13,Report Tables 1–2 assign population change to adaptive capacity; website catalogue assigns it to sensitivity. Preserve both assignments.,Exact 2022 projection release/change table not found,Not verified,,False,Acquire the exact source release and document its geographic assignment to FSA.,59.0,338432.0,61
45,Vulnerability_Communication_Kindergarten,Vulnerability Communication Kindergarten,BC Community Health Data,2013–2016,LHA,Sensitivity,Sensitivity,selected,False,True,Table 1 pp. 5–10; Table 2 pp. 12–13,,1048 PHSA CSV archive entries in Google Drive snapshot; current checkout lacks PHSA output; original vintage not verified,Original health input publication not verified,,False,Match original LHA table/vintage and establish the LHA-to-FSA allocation. Current EDI data is not automatically the 2013–2016 health input.,0.06,0.28,18
46,Vulnerability_Emotional_Kindergarten,Vulnerability Emotional Kindergarten,BC Community Health Data,2013–2016,LHA,Sensitivity,Sensitivity,selected,False,True,Table 1 pp. 5–10; Table 2 pp. 12–13,,1048 PHSA CSV archive entries in Google Drive snapshot; current checkout lacks PHSA output; original vintage not verified,Original health input publication not verified,,False,Match original LHA table/vintage and establish the LHA-to-FSA allocation. Current EDI data is not automatically the 2013–2016 health input.,0.11,0.24,13
47,Vulnerability_Cognitive_Kindergarten,Vulnerability Cognitive Kindergarten,BC Community Health Data,2013–2016,LHA,Sensitivity,Sensitivity,selected,False,True,Table 1 pp. 5–10; Table 2 pp. 12–13,,1048 PHSA CSV archive entries in Google Drive snapshot; current checkout lacks PHSA output; original vintage not verified,Original health input publication not verified,,False,Match original LHA table/vintage and establish the LHA-to-FSA allocation. Current EDI data is not automatically the 2013–2016 health input.,0.03,0.28,15
48,Vulnerability_Physical_Kindergarten,Vulnerability Physical Kindergarten,BC Community Health Data,2013–2016,LHA,Sensitivity,Sensitivity,selected,False,True,Table 1 pp. 5–10; Table 2 pp. 12–13,,1048 PHSA CSV archive entries in Google Drive snapshot; current checkout lacks PHSA output; original vintage not verified,Original health input publication not verified,,False,Match original LHA table/vintage and establish the LHA-to-FSA allocation. Current EDI data is not automatically the 2013–2016 health input.,0.07,0.34,16
49,Vulnerability_Social_Kindergarten,Vulnerability Social Kindergarten,BC Community Health Data,2013–2016,LHA,Sensitivity,Sensitivity,selected,False,True,Table 1 pp. 5–10; Table 2 pp. 12–13,,1048 PHSA CSV archive entries in Google Drive snapshot; current checkout lacks PHSA output; original vintage not verified,Original health input publication not verified,,False,Match original LHA table/vintage and establish the LHA-to-FSA allocation. Current EDI data is not automatically the 2013–2016 health input.,0.1,0.29,14
50,Vulnerability_One_or_More_Areas_Kindergarten,Vulnerability One or More Areas Kindergarten,BC Community Health Data,2013–2016,LHA,Sensitivity,Sensitivity,selected,False,True,Table 1 pp. 5–10; Table 2 pp. 12–13,,1048 PHSA CSV archive entries in Google Drive snapshot; current checkout lacks PHSA output; original vintage not verified,Original health input publication not verified,,False,Match original LHA table/vintage and establish the LHA-to-FSA allocation. Current EDI data is not automatically the 2013–2016 health input.,0.2,0.5,23
51,Life_Expectancy_Total_All_Ages,Life Expectancy Total All Ages,BC Community Health Data,2011–2015,LHA,Sensitivity,Sensitivity,selected,False,True,Table 1 pp. 5–10; Table 2 pp. 12–13,,1048 PHSA CSV archive entries in Google Drive snapshot; current checkout lacks PHSA output; original vintage not verified,Original health input publication not verified,,False,Match original LHA table/vintage and establish the LHA-to-FSA allocation. Current EDI data is not automatically the 2013–2016 health input.,75.9,86.2,39
52,PYLL_Smoking_Attributable_Deaths,PYLL Smoking Attributable Deaths,BC Community Health Data,2011–2015,LHA,Sensitivity,Sensitivity,selected,False,True,Table 1 pp. 5–10; Table 2 pp. 12–13,,1048 PHSA CSV archive entries in Google Drive snapshot; current checkout lacks PHSA output; original vintage not verified,Original health input publication not verified,,False,Match original LHA table/vintage and establish the LHA-to-FSA allocation. Current EDI data is not automatically the 2013–2016 health input.,0.48,1.82,42
53,PYLL_Drug_Induced_Deaths,PYLL Drug Induced Deaths,BC Community Health Data,2011–2015,LHA,Sensitivity,Sensitivity,selected,False,True,Table 1 pp. 5–10; Table 2 pp. 12–13,,1048 PHSA CSV archive entries in Google Drive snapshot; current checkout lacks PHSA output; original vintage not verified,Original health input publication not verified,,False,Match original LHA table/vintage and establish the LHA-to-FSA allocation. Current EDI data is not automatically the 2013–2016 health input.,0.35,2.18,42
54,PYLL_Alcohol_Related_Deaths,PYLL Alcohol Related Deaths,BC Community Health Data,2011–2015,LHA,Sensitivity,Sensitivity,selected,False,True,Table 1 pp. 5–10; Table 2 pp. 12–13,,1048 PHSA CSV archive entries in Google Drive snapshot; current checkout lacks PHSA output; original vintage not verified,Original health input publication not verified,,False,Match original LHA table/vintage and establish the LHA-to-FSA allocation. Current EDI data is not automatically the 2013–2016 health input.,0.31,2.87,45
55,PYLL_Accidental_Falls,PYLL Accidental Falls,BC Community Health Data,2011–2015,LHA,Sensitivity,Sensitivity,selected,False,True,Table 1 pp. 5–10; Table 2 pp. 12–13,,1048 PHSA CSV archive entries in Google Drive snapshot; current checkout lacks PHSA output; original vintage not verified,Original health input publication not verified,,False,Match original LHA table/vintage and establish the LHA-to-FSA allocation. Current EDI data is not automatically the 2013–2016 health input.,0.0,3.26,44
56,PYLL_Motor_Vehicle_Accidents,PYLL Motor Vehicle Accidents,BC Community Health Data,2011–2015,LHA,Sensitivity,Sensitivity,selected,False,True,Table 1 pp. 5–10; Table 2 pp. 12–13,,1048 PHSA CSV archive entries in Google Drive snapshot; current checkout lacks PHSA output; original vintage not verified,Original health input publication not verified,,False,Match original LHA table/vintage and establish the LHA-to-FSA allocation. Current EDI data is not automatically the 2013–2016 health input.,0.0,7.32,48
57,Infant_Mortality_Rate_1_Year,Infant Mortality Rate 1 Year,BC Community Health Data,2011–2015,LHA,Sensitivity,Sensitivity,selected,False,True,Table 1 pp. 5–10; Table 2 pp. 12–13,,1048 PHSA CSV archive entries in Google Drive snapshot; current checkout lacks PHSA output; original vintage not verified,Original health input publication not verified,,False,Match original LHA table/vintage and establish the LHA-to-FSA allocation. Current EDI data is not automatically the 2013–2016 health input.,1.0,15.0,10
58,Low_Birth_Rate_1_Year,Low Birth Rate 1 Year,BC Community Health Data,2011–2015,LHA,Sensitivity,Sensitivity,selected,False,True,Table 1 pp. 5–10; Table 2 pp. 12–13,,1048 PHSA CSV archive entries in Google Drive snapshot; current checkout lacks PHSA output; original vintage not verified,Original health input publication not verified,,False,Match original LHA table/vintage and establish the LHA-to-FSA allocation. Current EDI data is not automatically the 2013–2016 health input.,32.0,72.0,28
59,Asthma_Prevalence_5_54_Years,Asthma Prevalence 5 54 Years,BC Community Health Data,2015,LHA,Sensitivity,Sensitivity,selected,False,True,Table 1 pp. 5–10; Table 2 pp. 12–13,,1048 PHSA CSV archive entries in Google Drive snapshot; current checkout lacks PHSA output; original vintage not verified,Original health input publication not verified,,False,Match original LHA table/vintage and establish the LHA-to-FSA allocation. Current EDI data is not automatically the 2013–2016 health input.,8.9,16.9,32
60,COPD_Prevalence_45_Years,COPD Prevalence 45 Years,BC Community Health Data,2015,LHA,Sensitivity,Sensitivity,selected,False,True,Table 1 pp. 5–10; Table 2 pp. 12–13,,1048 PHSA CSV archive entries in Google Drive snapshot; current checkout lacks PHSA output; original vintage not verified,Original health input publication not verified,,False,Match original LHA table/vintage and establish the LHA-to-FSA allocation. Current EDI data is not automatically the 2013–2016 health input.,3.5,11.9,39
61,Diabetes_Prevalence_1_Years,Diabetes Prevalence 1 Years,BC Community Health Data,2015,LHA,Sensitivity,Sensitivity,selected,False,True,Table 1 pp. 5–10; Table 2 pp. 12–13,,1048 PHSA CSV archive entries in Google Drive snapshot; current checkout lacks PHSA output; original vintage not verified,Original health input publication not verified,,False,Match original LHA table/vintage and establish the LHA-to-FSA allocation. Current EDI data is not automatically the 2013–2016 health input.,5.2,12.4,34
