id,variable,csv_field,source,source_period,source_geography,component,in_download,prior_local_status,r2_status
48,Vulnerability Physical Kindergarten,Vulnerability_Physical_Kindergarten,BC Community Health Data,2013–2016,LHA,Sensitivity,yes,1048 PHSA CSV archive entries in Google Drive snapshot; current checkout lacks PHSA output; original vintage not verified,Original health input publication not verified
49,Vulnerability Social Kindergarten,Vulnerability_Social_Kindergarten,BC Community Health Data,2013–2016,LHA,Sensitivity,yes,1048 PHSA CSV archive entries in Google Drive snapshot; current checkout lacks PHSA output; original vintage not verified,Original health input publication not verified
50,Vulnerability One or More Areas Kindergarten,Vulnerability_One_or_More_Areas_Kindergarten,BC Community Health Data,2013–2016,LHA,Sensitivity,yes,1048 PHSA CSV archive entries in Google Drive snapshot; current checkout lacks PHSA output; original vintage not verified,Original health input publication not verified
51,Life Expectancy Total All Ages,Life_Expectancy_Total_All_Ages,BC Community Health Data,2011–2015,LHA,Sensitivity,yes,1048 PHSA CSV archive entries in Google Drive snapshot; current checkout lacks PHSA output; original vintage not verified,Original health input publication not verified
52,PYLL Smoking Attributable Deaths,PYLL_Smoking_Attributable_Deaths,BC Community Health Data,2011–2015,LHA,Sensitivity,yes,1048 PHSA CSV archive entries in Google Drive snapshot; current checkout lacks PHSA output; original vintage not verified,Original health input publication not verified
53,PYLL Drug Induced Deaths,PYLL_Drug_Induced_Deaths,BC Community Health Data,2011–2015,LHA,Sensitivity,yes,1048 PHSA CSV archive entries in Google Drive snapshot; current checkout lacks PHSA output; original vintage not verified,Original health input publication not verified
54,PYLL Alcohol Related Deaths,PYLL_Alcohol_Related_Deaths,BC Community Health Data,2011–2015,LHA,Sensitivity,yes,1048 PHSA CSV archive entries in Google Drive snapshot; current checkout lacks PHSA output; original vintage not verified,Original health input publication not verified
55,PYLL Accidental Falls,PYLL_Accidental_Falls,BC Community Health Data,2011–2015,LHA,Sensitivity,yes,1048 PHSA CSV archive entries in Google Drive snapshot; current checkout lacks PHSA output; original vintage not verified,Original health input publication not verified
56,PYLL Motor Vehicle Accidents,PYLL_Motor_Vehicle_Accidents,BC Community Health Data,2011–2015,LHA,Sensitivity,yes,1048 PHSA CSV archive entries in Google Drive snapshot; current checkout lacks PHSA output; original vintage not verified,Original health input publication not verified
57,Infant Mortality Rate 1 Year,Infant_Mortality_Rate_1_Year,BC Community Health Data,2011–2015,LHA,Sensitivity,yes,1048 PHSA CSV archive entries in Google Drive snapshot; current checkout lacks PHSA output; original vintage not verified,Original health input publication not verified
58,Low Birth Rate 1 Year,Low_Birth_Rate_1_Year,BC Community Health Data,2011–2015,LHA,Sensitivity,yes,1048 PHSA CSV archive entries in Google Drive snapshot; current checkout lacks PHSA output; original vintage not verified,Original health input publication not verified
59,Asthma Prevalence 5 54 Years,Asthma_Prevalence_5_54_Years,BC Community Health Data,2015,LHA,Sensitivity,yes,1048 PHSA CSV archive entries in Google Drive snapshot; current checkout lacks PHSA output; original vintage not verified,Original health input publication not verified
60,COPD Prevalence 45 Years,COPD_Prevalence_45_Years,BC Community Health Data,2015,LHA,Sensitivity,yes,1048 PHSA CSV archive entries in Google Drive snapshot; current checkout lacks PHSA output; original vintage not verified,Original health input publication not verified
61,Diabetes Prevalence 1 Years,Diabetes_Prevalence_1_Years,BC Community Health Data,2015,LHA,Sensitivity,yes,1048 PHSA CSV archive entries in Google Drive snapshot; current checkout lacks PHSA output; original vintage not verified,Original health input publication not verified
62,Heart Failure Prevalence 1 Years,Heart_Failure_Prevalence_1_Years,BC Community Health Data,2015,LHA,Sensitivity,yes,1048 PHSA CSV archive entries in Google Drive snapshot; current checkout lacks PHSA output; original vintage not verified,Original health input publication not verified
63,Hypertension Prevalence 20 Years,Hypertension_Prevalence_20_Years,BC Community Health Data,2015,LHA,Sensitivity,yes,1048 PHSA CSV archive entries in Google Drive snapshot; current checkout lacks PHSA output; original vintage not verified,Original health input publication not verified
64,Asthma Incidence 5 54 Years,Asthma_Incidence_5_54_Years,BC Community Health Data,2015,LHA,Sensitivity,yes,1048 PHSA CSV archive entries in Google Drive snapshot; current checkout lacks PHSA output; original vintage not verified,Original health input publication not verified
65,COPD Incidence 45 Years,COPD_Incidence_45_Years,BC Community Health Data,2015,LHA,Sensitivity,yes,1048 PHSA CSV archive entries in Google Drive snapshot; current checkout lacks PHSA output; original vintage not verified,Original health input publication not verified
66,Diabetes Incidence 1 Years,Diabetes_Incidence_1_Years,BC Community Health Data,2015,LHA,Sensitivity,yes,1048 PHSA CSV archive entries in Google Drive snapshot; current checkout lacks PHSA output; original vintage not verified,Original health input publication not verified
67,Heart Failure Incidence 1 Years,Heart_Failure_Incidence_1_Years,BC Community Health Data,2015,LHA,Sensitivity,yes,1048 PHSA CSV archive entries in Google Drive snapshot; current checkout lacks PHSA output; original vintage not verified,Original health input publication not verified
68,Hypertension Incidence 20 Years,Hypertension_Incidence_20_Years,BC Community Health Data,2015,LHA,Sensitivity,yes,1048 PHSA CSV archive entries in Google Drive snapshot; current checkout lacks PHSA output; original vintage not verified,Original health input publication not verified
69,General Practitioners Per 100000 Population,General_Practitioners_Per_100000_Population,BC Community Health Data,2009–2010,LHA,Sensitivity,yes,1048 PHSA CSV archive entries in Google Drive snapshot; current checkout lacks PHSA output; original vintage not verified,Original health input publication not verified
70,Specialists Per 100000 Population,Specialists_Per_100000_Population,BC Community Health Data,2009–2010,LHA,Sensitivity,yes,1048 PHSA CSV archive entries in Google Drive snapshot; current checkout lacks PHSA output; original vintage not verified,Original health input publication not verified
71,Supplementary Practitioners Per 100000 Population,Supplementary_Practitioners_Per_100000_Population,BC Community Health Data,2009–2010,LHA,Sensitivity,yes,1048 PHSA CSV archive entries in Google Drive snapshot; current checkout lacks PHSA output; original vintage not verified,Original health input publication not verified
72,Alcohol Consumption Per Capita,Alcohol_Consumption_Per_Capita,BC Community Health Data,2016,LHA,Sensitivity,yes,1048 PHSA CSV archive entries in Google Drive snapshot; current checkout lacks PHSA output; original vintage not verified,Original health input publication not verified
73,Injury Hospitalization Count,Injury_Hospitalization_Count,BC Community Health Data,2006–2011,LHA,Sensitivity,yes,1048 PHSA CSV archive entries in Google Drive snapshot; current checkout lacks PHSA output; original vintage not verified,Original health input publication not verified
74,All Cause Cancer Incident Cases,All_Cause_Cancer_Incident_Cases,BC Community Health Data,2008–2012,LHA,Sensitivity,yes,1048 PHSA CSV archive entries in Google Drive snapshot; current checkout lacks PHSA output; original vintage not verified,Original health input publication not verified
75,Depression Incident Counts 1 Years,Depression_Incident_Counts_1_Years,BC Community Health Data,2015,LHA,Sensitivity,yes,1048 PHSA CSV archive entries in Google Drive snapshot; current checkout lacks PHSA output; original vintage not verified,Original health input publication not verified
76,Asthma Incident Counts 5 54 Years,Asthma_Incident_Counts_5_54_Years,BC Community Health Data,2015,LHA,Sensitivity,yes,1048 PHSA CSV archive entries in Google Drive snapshot; current checkout lacks PHSA output; original vintage not verified,Original health input publication not verified
77,COPD Incident Counts 45 Years,COPD_Incident_Counts_45_Years,BC Community Health Data,2015,LHA,Sensitivity,yes,1048 PHSA CSV archive entries in Google Drive snapshot; current checkout lacks PHSA output; original vintage not verified,Original health input publication not verified
78,Hypertension Incident Counts 20 Years,Hypertension_Incident_Counts_20_Years,BC Community Health Data,2015,LHA,Sensitivity,yes,1048 PHSA CSV archive entries in Google Drive snapshot; current checkout lacks PHSA output; original vintage not verified,Original health input publication not verified
79,Heart Failure Incident Counts 1 Years,Heart_Failure_Incident_Counts_1_Years,BC Community Health Data,2015,LHA,Sensitivity,yes,1048 PHSA CSV archive entries in Google Drive snapshot; current checkout lacks PHSA output; original vintage not verified,Original health input publication not verified
80,Diabetes Incident Counts 1 Years,Diabetes_Incident_Counts_1_Years,BC Community Health Data,2015,LHA,Sensitivity,yes,1048 PHSA CSV archive entries in Google Drive snapshot; current checkout lacks PHSA output; original vintage not verified,Original health input publication not verified
